Número de GRU;Valor Cobrado (R$);Valor Pago (R$);Data Vencimento;Data Pagamento;Ano Débito;Trimestre;UF;Última Atualização Relatório
00000000010281271;180;232,2;31/03/2006;13/12/2006;2006;1;AC;02/04/2024 20:00
00000000010292712;180;232,2;31/03/2006;21/12/2006;2006;1;AC;02/04/2024 20:00
00000000010296557;50;64,5;31/03/2006;28/11/2006;2006;1;AC;02/04/2024 20:00
00000000010780206;225;292,5;31/03/2006;18/01/2007;2006;1;AC;02/04/2024 20:00
00000000010814019;180;23,2;31/03/2006;31/01/2007;2006;1;AC;02/04/2024 20:00
00000000010931873;180;925,2;31/03/2006;22/03/2007;2006;1;AC;02/04/2024 20:00
00000000010936706;225;877,5;31/03/2006;20/04/2007;2006;1;AC;02/04/2024 20:00
00000000010939478;50;66,5;31/03/2006;13/04/2007;2006;1;AC;02/04/2024 20:00
00000000010957422;360;47,1;31/03/2006;30/03/2007;2006;1;AC;02/04/2024 20:00
00000000010957613;360;47,1;31/03/2006;30/03/2007;2006;1;AC;02/04/2024 20:00
00000000010963043;225;299,2;31/03/2006;02/04/2007;2006;1;AC;02/04/2024 20:00
00000000011033774;225;301,5;31/03/2006;04/05/2007;2006;1;AC;02/04/2024 20:00
00000000011137574;50;67;31/03/2006;16/05/2007;2006;1;AC;02/04/2024 20:00
00000000011382674;180;90,5;31/03/2006;31/07/2007;2006;1;AC;02/04/2024 20:00
00000000011420214;225;30,5;31/03/2006;31/08/2007;2006;1;AC;02/04/2024 20:00
00000000011597489;225;312,8;31/03/2006;23/10/2007;2006;1;AC;02/04/2024 20:00
00000000011597572;225;312,8;31/03/2006;17/10/2007;2006;1;AC;02/04/2024 20:00
00000000011597684;225;312,8;31/03/2006;25/09/2007;2006;1;AC;02/04/2024 20:00
00000000011715432;360;504;31/03/2006;14/11/2007;2006;1;AC;02/04/2024 20:00
00000000012505611;180;257,4;31/03/2006;20/02/2008;2006;1;AC;02/04/2024 20:00
00000000012522140;180;257,4;31/03/2006;26/02/2008;2006;1;AC;02/04/2024 20:00
00000000014830125;900;1.395;31/03/2006;12/02/2009;2006;1;AC;02/04/2024 20:00
00000000016312390;50;82,5;31/03/2006;01/12/2009;2006;1;AC;02/04/2024 20:00
00000000016579384;50;83,5;31/03/2006;10/02/2010;2006;1;AC;02/04/2024 20:00
00000000017708594;225;375,4;31/03/2006;16/07/2010;2006;1;AC;02/04/2024 20:00
00000000017749417;225;377,1;31/03/2006;12/08/2010;2006;1;AC;02/04/2024 20:00
00000000017995734;225;431,3;31/03/2006;09/12/2010;2006;1;AC;02/04/2024 20:00
00000000018596234;450;247,2;31/03/2006;25/07/2011;2006;1;AC;02/04/2024 20:00
00000000019124024;450;253,8;31/03/2006;25/01/2012;2006;1;AC;02/04/2024 20:00
00000000019230437;450;256,2;31/03/2006;27/02/2012;2006;1;AC;02/04/2024 20:00
00000000019371564;450;257,1;31/03/2006;30/03/2012;2006;1;AC;02/04/2024 20:00
00000000021520241;225;498,2;31/03/2006;28/11/2013;2006;1;AC;02/04/2024 20:00
00000000021724087;225;502;31/03/2006;31/01/2014;2006;1;AC;02/04/2024 20:00
00000000001407181;225;225;30/06/2006;30/06/2006;2006;2;AC;02/04/2024 20:00
00000000001562820;225;225;30/06/2006;30/06/2006;2006;2;AC;02/04/2024 20:00
00000000001565712;225;225;30/06/2006;29/06/2006;2006;2;AC;02/04/2024 20:00
00000000001714872;180;180;30/06/2006;30/06/2006;2006;2;AC;02/04/2024 20:00
00000000002212406;180;180;30/06/2006;30/06/2006;2006;2;AC;02/04/2024 20:00
00000000002212647;360;360;30/06/2006;30/06/2006;2006;2;AC;02/04/2024 20:00
00000000002222569;180;180;30/06/2006;05/07/2006;2006;2;AC;02/04/2024 20:00
00000000002222813;225;227,2;30/06/2006;05/07/2006;2006;2;AC;02/04/2024 20:00
00000000002228969;180;181,8;30/06/2006;06/07/2006;2006;2;AC;02/04/2024 20:00
00000000002230055;225;225;30/06/2006;06/07/2006;2006;2;AC;02/04/2024 20:00
00000000002264172;180;199,8;30/06/2006;12/07/2006;2006;2;AC;02/04/2024 20:00
00000000002265917;180;199,8;30/06/2006;13/07/2006;2006;2;AC;02/04/2024 20:00
00000000002267052;180;199,8;30/06/2006;14/07/2006;2006;2;AC;02/04/2024 20:00
00000000002270985;180;199,8;30/06/2006;18/07/2006;2006;2;AC;02/04/2024 20:00
00000000002276477;450;549;30/06/2006;02/08/2006;2006;2;AC;02/04/2024 20:00
00000000002276703;450;549;30/06/2006;02/08/2006;2006;2;AC;02/04/2024 20:00
00000000002279509;180;199,8;30/06/2006;24/07/2006;2006;2;AC;02/04/2024 20:00
00000000002281922;450;549;30/06/2006;23/08/2006;2006;2;AC;02/04/2024 20:00
00000000002282978;450;549;30/06/2006;23/08/2006;2006;2;AC;02/04/2024 20:00
00000000002282997;225;274,5;30/06/2006;08/08/2006;2006;2;AC;02/04/2024 20:00
00000000002283018;225;274,5;30/06/2006;04/08/2006;2006;2;AC;02/04/2024 20:00
00000000010000988;225;249,8;30/06/2006;28/07/2006;2006;2;AC;02/04/2024 20:00
00000000010000993;450;499,5;30/06/2006;31/07/2006;2006;2;AC;02/04/2024 20:00
00000000010045649;50;61;30/06/2006;09/08/2006;2006;2;AC;02/04/2024 20:00
00000000010056784;50;55,5;30/06/2006;15/08/2006;2006;2;AC;02/04/2024 20:00
